symbol,adf_p_level,adf_p_diff,adf_I(1),pp_p_level,pp_p_diff,pp_I(1)
GBPJPY,0.16348254115406236,0.0,True,0.12305673836358627,0.0,True
GBPMXN,0.4331193676931082,4.538925268912982e-13,True,0.4432750527139637,0.0,True
GBPNOK,0.03928099657999876,0.0,False,0.05187884967321831,0.0,True
GBPNZD,0.5843330041095576,0.0,True,0.6399518845483795,0.0,True
GBPSEK,0.7898195537210088,6.238431304521991e-27,True,0.8347614703743713,0.0,True
GBPTRY,0.8882832187220924,0.0,True,0.8883911761776832,0.0,True
GBPUSD,0.5074152479700289,0.0,True,0.537211753016666,0.0,True
GD,0.5794471696693433,3.795838382694691e-20,True,0.7106686952913149,0.0,True
GDAXI,0.698932119798357,2.284370662868422e-26,True,0.7384598802307462,0.0,True
GDDY,0.38350937275031927,0.0,True,0.38493885181541493,0.0,True
GDX,0.970514174827486,8.448600548832873e-28,True,0.9876490680384653,0.0,True
GDXJ,0.9670649356787566,8.39241594878898e-28,True,0.9864557022533936,0.0,True
GE,0.7790340053383678,7.985568817874065e-28,True,0.7731407587486501,0.0,True
GEN,0.1926089626334151,3.686904052758154e-27,True,0.3001101055751909,0.0,True
GGG,0.00977977650982186,0.0,False,0.00956947474185804,0.0,False
GH,0.9688612077828358,0.0,True,0.957064581344956,0.0,True
GILD,0.9046363736770486,0.0,True,0.9291739272509316,0.0,True
GIS,0.9627588617901942,9.543537418183414e-25,True,0.9497274499139494,0.0,True
GL,0.3259881962489214,0.0,True,0.3018958632358979,0.0,True
GLD,0.9607930445031613,0.0,True,0.9769200118505162,0.0,True
GLW,0.9407318680722814,0.0,True,0.9517121074974063,0.0,True
GM,0.8810343113501464,0.0,True,0.9388246879104224,0.0,True
GMED,0.46518219270314703,0.0,True,0.4679679356874878,0.0,True
GNRC,0.3167492430417207,0.0,True,0.2533322891368204,0.0,True
GNTX,0.7510332829200299,6.518480152882965e-28,True,0.7535073744903804,0.0,True
GOOG,0.9707807191884816,0.0,True,0.9778036905719933,0.0,True
GOOGL,0.9705815955815913,0.0,True,0.977723416775481,0.0,True
GPC,0.322262956092372,1.6766088412876313e-24,True,0.30004078375719256,0.0,True
GPK,0.9983710161781331,3.79990426098955e-19,True,0.9964809524952302,0.0,True
GPN,0.5851966298494922,4.558463324320352e-12,True,0.6277958635492688,0.0,True
GS,0.8913960763775155,0.0,True,0.9119948180554469,0.0,True
GSLC,0.5818762244802967,2.54753189870484e-24,True,0.5692897813600907,0.0,True
GT,0.16414636680680478,3.802156840281173e-27,True,0.18438755060222395,0.0,True
GTLS,0.4322747509549867,0.0,True,0.350605762189914,0.0,True
GWRE,0.3564482905792982,0.0,True,0.4079595675317744,0.0,True
GWW,0.031623478651866876,0.0,False,0.03028888234552776,0.0,False
H,0.11920096424242688,0.0,True,0.10533039370203712,0.0,True
HAL,0.4966498007646174,1.2953950416028502e-16,True,0.5611115761206037,0.0,True
HALO,0.32304273664684047,2.2508117619941545e-23,True,0.4319753515700657,0.0,True
HAS,0.48235466817157807,0.0,True,0.5434415402691914,0.0,True
HBAN,0.3175440318378415,0.0,True,0.30887374762136655,0.0,True
HCA,0.6348725976661085,0.0,True,0.6296008525069205,0.0,True
HD,0.18005997350338804,0.0,True,0.14580188404184263,0.0,True
HDV,0.23723975444769424,2.2926425841856997e-11,True,0.30535962580578335,0.0,True
HEI,0.5314893338939979,2.1202711470844443e-29,True,0.5672328616455327,0.0,True
HELE,0.8207909366047119,0.0,True,0.8272150149143214,0.0,True
HIG,0.19049302865153572,0.0,True,0.18816775897184634,0.0,True
HII,0.7194476280748605,0.0,True,0.7925562163447052,0.0,True
HLT,0.42978755149448034,0.0,True,0.4268115848236592,0.0,True
HOG,0.9113409423984264,1.7871601774926285e-24,True,0.8514933299634302,0.0,True
HOLX,0.6144125669777021,8.379342360373587e-28,True,0.5763234835050616,0.0,True
HON,0.09220738458864469,0.0,True,0.12379008564687183,0.0,True
HPE,0.35579614715577157,4.111000799492661e-27,True,0.3467527686893913,0.0,True
HPQ,0.7098315172740401,0.0,True,0.7228017885115454,0.0,True
HQY,0.1200504764198842,9.058177156598219e-05,True,0.051560979433878044,0.0,True
HSIC,0.004290400477003081,0.0,False,0.004452087276823642,0.0,False
HUBB,0.16104536907557504,1.9020512408792076e-25,True,0.12993982406094118,0.0,True
HUBS,0.6876785924379978,0.0,True,0.6325965373120825,0.0,True
HUM,0.05797665928382866,0.0,True,0.06236189749966944,0.0,True
HUN,0.8736963678790172,8.018863761761452e-22,True,0.8843059796012276,0.0,True
